titre,nbre_pièces,mètre_carré,ville,description,type_de_bien
Appartement 2 pièces 44 m²,2 Pièces,44 m²,Septeuil 78790,"APPARTEMENT F2 CENTRE SEPTEUIL 44 M²

JEAN COCITA vous propose ce bel appartement de 2 pièces de 44 m² totalement rénové et dans un état irréprochable.
Il comprend un salon, une cuisine aménagée et équipée, une chambre avec placards, une salle de douche avec WC, un local de rangement de 6 m², l'accès à une cave voûtée. Autre particularité : cet appartement est totalement meublé et équipé (mobilier, lave-linge, lit etc.).
PEUT CONVENIR à UN INVESTISSEUR (loyer environ 700 € / mois).
Peu de charges de copropriété.

TRES LUMINEUX, COMMERCES et ECOLES à PIED.
RESERVEZ UNE VISITE. Nombre de lots de la copropriété: 3, Montant moyen de la quote-part annuelle de charges (budget prévisionnel)  : 300€ soit 25€ par mois. Les honoraires sont à la charge du vendeur. Contactez  Jean COCITA, Agent commercial OptimHome (RSAC N°342621489 Greffe de VERSAILLES) 06 11 70 70 31 *** (réf. 491560 )
Référence annonce : 830033492376
Les honoraires sont à la charge du vendeur

A propos de la copropriété :
Nombre de lots : 3
Charges prévisionnelles annuelles : 300 €",Appartement
Appartement 2 pièces 31 m²,2 Pièces,31 m²,Paris 75020,"Paris 20 Alexandre Dumas - 2 pièces 30m²

A proximité des commerces et du métro Alexandre Dumas (ligne 2), à 2 stations du RER A (Nation), venez découvrir cet appartement de charme situé au 3ème étage sur 4 d'un immeuble ancien. Il se compose d'un séjour avec une cuisine indépendante, d'une chambre et d'une salle d'eau avec WC. Vendu avec une cave. Idéal primo-accédant ou investisseur. dont 5.08 % honoraires TTC à la charge de l'acquéreur. Copropriété de 60 lots (Pas de procédure en cours).    Charges annuelles : 800 euros.
Référence annonce : 364
Le prix indiqué comprend les honoraires à la charge de l'acheteur : 5,08% TTC du prix du bien hors honoraires
Prix hors honoraires : 295 000 €

A propos de la copropriété :
Nombre de lots : 60
Charges prévisionnelles annuelles : 800 €",Appartement
Appartement 3 pièces 92 m²,3 Pièces,92 m²,Paris 75020,"Loft/ maison d'architecte avec jardin privatif

Au coeur d'une des rues les plus recherchées de Gambetta et  Ménilmontant, bien d'exception indépendant (65,40m2 Carrez, 26,80 m2 de jardin privatif, chambre en mezzanine de 7m2) rénové par architecte avec des matériaux premium et rares, comprenant une entrée avec rangements sur mesure, un spacieux séjour/ cuisine ouverte et îlot central, verrière zénithale de plus de 4 m sous plafond, baie vitrée, une chambre en mezzanine (idéal pour un enfant), une chambre parentale avec baie vitrée et rangements, une salle de douche avec WC, un cellier et un dressing. sur mesure L'intégralité des pièces s'ouvrent sur un superbe jardin privatif, arboré avec bassin, Hyper calme et baigné de lumière avec de magnifiques volumes. Unique dans la capitale.  dont 4.94 % honoraires TTC à la charge de l'acquéreur. Copropriété de 44 lots (Pas de procédure en cours).    Charges annuelles : 1500 euros.
Référence annonce : 534
Le prix indiqué comprend les honoraires à la charge de l'acheteur : 4,94% TTC du prix du bien hors honoraires
Prix hors honoraires : 810 000 €

A propos de la copropriété :
Nombre de lots : 44
Charges prévisionnelles annuelles : 1500 €",Appartement
Vincennes-est 3p 63m2 vue bois,3 Pièces,63 m²,Vincennes 94300,"Vincennes-Est. Boulevard de la libération. EXCLUSIVITÉ MÉTRO 12 Mn - Bois 4mn .
Dans un bel immeuble avec digicode, interphone et gardien. Appartement 3 pièces situé en étage élevé avec ascenseur de 63 m² (et 5 m² de balcon) comprenant entrée avec penderie, séjour 24m2 sur balcon plein sud avec vue sur bois de Vincennes et château, sans aucun vis à vis, cuisine indépendante équipée, 2 chambres de 12 et 10 m2 sur jardin plein est sans vis à vis avec penderies, salle de bains, toilette, cave et parking en sous-sol.(valeur 20000€ compris dans le prix) mais possible aussi sans. 
Charges 240€ par mois tout compris Taxe foncière 1500€ Par an .
Immeuble entièrement refait (parties communes, ravalement, balcon, )
 Libre pour le 1 Er juillet 2021 Visite virtuelle en 3D 7K sur demande Visite 7 jours sur 7 sur rdv, fournir pièce d'identité .
Diagnostic renouvelé  B et D en DPE ET aucune anomalie. Dossier complet en agence ainsi que notaire. 
Pas de procédure en cours.
 Très belle affaire, absolument à visiter. RARE
Prix 595000€ honoraires compris. 
Vincent immobilier spécialiste de Vincennes-Est.  Tel au0698820221",Ancien
Pavillon 7 pièces 145 m²,7 Pièces,145 m²,Pontault-Combault 77340,"VAL MUGUET

VAL MUGUET
L'agence du Tremblay vous propose en exclusivité cette magnifique maison meulière qui se compose au rez-de-chaussée d'un garage triple, un atelier, une cuisine d'été, une chambre et wc. A l'étage d'une cuisine us, salon, salle à manger, 3 chambres, salle de bains et wc
Au deuxième un dégagement possible bureau, une chambre et une salle d'eau avec wc.
Le tout sur un terrain de 505m².
A visiter au plus vite!
Prix :  475 000 *
*Honoraires à la charge du vendeur
Référence annonce : 106852
Les honoraires sont à la charge du vendeur",Maison
Pavillon 5 pièces 82 m²,5 Pièces,82 m²,Pontault-Combault 77340,"BERCHERES

BERCHERES
L'agence du Tremblay vous propose en exclusivité ce pavillon sur un secteur calme et proche de toutes les commodités qui se compose d'une entrée, séjour double avec accès sur un jardin sans vis-à-vis, cuisine américaine équipée, 3 belles chambres avec des rangements. Un sous-sol total vient compléter ce pavillon.
À voir au plus vite!
Prix :  364 000 *
*Honoraires à la charge du vendeur
Référence annonce : 106862
Les honoraires sont à la charge du vendeur",Maison
Pavillon 5 pièces 106 m²,5 Pièces,106 m²,Pontault-Combault 77340,"BERCHERES

SESCTEUR CALME
L'agence du Tremblay vous propose ce pavillon indépendant proche des écoles qui se compose d'une entrée, cuisine équipée, séjour double, quatres belles chambres, un garage de plus de 40m² le tout sur un terrain de 341m².
Pas de travaux à prévoir, une visite s'impose.
Prix :  384 000 *
*Honoraires à la charge du vendeur
Référence annonce : 106876
Les honoraires sont à la charge du vendeur",Maison
Terrain non constructible,1 Pièce,1150 m²,Angerville 91670,Terrain non constructible 1150 m2 situé a Angerville 91 20000€ possibilité de vendre la moitié,Terrain
Maison 5 pièces 110 m²,5 Pièces,110 m²,Noisy-le-Sec 93130,"NOISY LE SEC  93130  ( SECTEUR GARE  )
L EQUIPE SYCOGEST  A LE PLAISIR DE VOUS PROPOSER EN EXCLUSIVITE
MAISON ANNEE 1950 DE 110 M² 5 PIECES EDIFIEE SUR PARCELLE DE 494 M²
NON MITOYENNE .
COMPRENANT
REZ DE CHAUSSEE SUR ELEVEE. ENTREE . CUISNE SEPAREE . DOUBLE SALON  . BUREAU  DONNANT SUR LE JARDIN  ARRIERE  . SALLE DE BAIN . WC . 2 CHAMBRES  RANGEMENTS
EN REZ DE JARDIN  ATELIER  CHAUFFERIE ( au fuel )   .  GARAGE  . CELIER.  BUANDERIE  . UNE CHAMBRE AVEC WC ET SALLE D EAU ENTREE INDEPENDANTE .  ATELIER  24 M²  env
RAFRAICHISSEMENT A PREVOIR  A 7 MN DE LA GARE RER E A PIED ET DE TOUTES COMMODITEES
SYCOGEST IMMOBILIER TEL 01.40.03.90.09
Référence annonce : 31922041
Les honoraires sont à la charge du vendeur",Maison
Parking,1 Pièce,Charenton-le-Pont 94220,,"Place de parking, rue de la Cerisaie, au sous-sol d’un immeuble moderne situé en face du collège. Quartier rue des Bordeaux, rue Paul Éluard, villa Saint-Pierre. Grande surface : peut accueillir sans difficulté un SUV ou une berline imposante + un scooter ou une moto. Emplacement sécurisé, ouverture de la porte avec une télécommande. Pas de mur gênant l'ouverture des portes ou du coffre. À deux pas du centre-ville, du métro ligne 8 et du bus. Pas de démarchage commercial par téléphone, merci.",Parking
